name,street,city,state,zip,phone,website,description,source_url
Botanist and Barrel,105 Persimmon Hill Lane,Cedar Grove,NC,,,https://www.botanistandbarrel.com/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Chapel Hill Wine Company,2809 Homestead Road,Chapel Hill,NC,,,https://www.chapelhillwinecompany.com/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Glasshalfull,106 South Greensboro Street,Carrboro,NC,,,https://glasshalfull.net/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Hillsborough Wine Company,118 South Churton Street,Hillsborough,NC,,,https://www.chapelhillwinecompany.com/topics/Hillsborough-Wine-Company-g1312305dh,,https://www.visitchapelhill.org/restaurants/wine-shops/
La Vita Dolce,610 Market Street,Chapel Hill,NC,,,http://www.lavitadolcecafe.com/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Rocks & Acid Wine Shop,712 Market Street,Chapel Hill,NC,,,https://www.rocksandacid.com/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Weaver Street Market Carrboro,101 East Weaver St,Carrboro,NC,,,http://www.weaverstreetmarket.coop/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Weaver Street Market Hillsborough,228 South Churton St ,Hillsborough,NC,,,http://www.weaverstreetmarket.coop/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Weaver Street Market Southern Village,716 Market St,Chapel Hill,NC,,,http://www.weaverstreetmarket.coop/,,https://www.visitchapelhill.org/restaurants/wine-shops/
Wedgewood Cheese Bar,100 Brewer Lane,Carrboro,NC,,,https://www.wedgewoodcheesebar.com/,,https://www.visitchapelhill.org/restaurants/wine-shops/
